order_id,supplier_id,distance_km,transport_mode,order_quantity,warehouse_load,season,delay_history,lead_time_days,Warehouse Load %,Delay %,Warehouse Status,Delay Risk,Lead Time Category,Distance Category
19,S7,45,Ship,3919,0.34,Normal,0.05,5,34,5,Normal,Low Risk,Short,Short Distance
20,S46,1226,Ship,365,0.32,Monsoon,0.02,18,32,2,Normal,Low Risk,Medium,Medium Distance
21,S27,1006,Air,1227,0.88,Normal,0.17,59,88,17,Critical,Low Risk,Long,Medium Distance
22,S19,348,Truck,2222,0.87,Peak,0.04,17,87,4,Critical,Low Risk,Medium,Short Distance
23,S28,1450,Air,4247,0.18,Monsoon,0.01,80,18,1,Normal,Low Risk,Very Long,Medium Distance
24,S5,1995,Air,2502,0.7,Peak,0.08,108,70,8,High,Low Risk,Very Long,Long Distance
25,S34,692,Air,179,0.99,Normal,0.42,45,99,42,Critical,Medium Risk,Long,Short Distance
26,S48,876,Air,3471,0.66,Peak,0.59,58,66,59,High,High Risk,Long,Medium Distance
27,S9,738,Truck,3425,0.24,Peak,0.55,27,24,55,Normal,High Risk,Medium,Short Distance
28,S5,1745,Air,692,0.18,Peak,0.27,95,18,27,Normal,Medium Risk,Very Long,Long Distance
29,S6,1485,Ship,954,0.14,Peak,0.37,25,14,37,Normal,Medium Risk,Medium,Medium Distance
30,S49,1805,Ship,3366,0.7,Normal,0.59,30,70,59,High,High Risk,Long,Long Distance
31,S35,163,Air,3556,0.33,Peak,0.07,14,33,7,Normal,Low Risk,Short,Short Distance
32,S28,849,Ship,1926,0.53,Peak,0.38,19,53,38,Normal,Medium Risk,Medium,Medium Distance
33,S36,1673,Ship,1818,0.52,Monsoon,0.01,22,52,1,Normal,Low Risk,Medium,Long Distance
34,S4,394,Truck,3466,0.86,Normal,0.53,20,86,53,Critical,High Risk,Medium,Short Distance
35,S45,1124,Truck,2008,0.4,Normal,0.36,31,40,36,Normal,Medium Risk,Long,Medium Distance
36,S35,1177,Truck,2065,0.49,Peak,0.52,36,49,52,Normal,High Risk,Long,Medium Distance
37,S2,1107,Air,1323,0.7,Peak,0.51,68,70,51,High,High Risk,Very Long,Medium Distance
38,S8,256,Train,3516,0.71,Normal,0.25,10,71,25,High,Medium Risk,Short,Short Distance
39,S8,81,Truck,2929,0.73,Monsoon,0.29,11,73,29,High,Medium Risk,Short,Short Distance
40,S27,1493,Ship,1766,0.71,Monsoon,0.26,26,71,26,High,Medium Risk,Medium,Medium Distance
41,S3,1400,Ship,547,0.5,Normal,0.34,22,50,34,Normal,Medium Risk,Medium,Medium Distance
42,S40,1033,Ship,1228,0.15,Normal,0.58,16,15,58,Normal,High Risk,Medium,Medium Distance
43,S40,437,Ship,97,0.61,Normal,0.28,12,61,28,High,Medium Risk,Short,Short Distance
44,S19,351,Train,3840,0.25,Monsoon,0.39,17,25,39,Normal,Medium Risk,Medium,Short Distance
45,S27,892,Ship,3307,0.42,Normal,0.47,17,42,47,Normal,High Risk,Medium,Medium Distance
46,S34,815,Train,1400,0.46,Monsoon,0.07,20,46,7,Normal,Low Risk,Medium,Medium Distance
47,S14,744,Train,662,0.86,Monsoon,0.31,24,86,31,Critical,Medium Risk,Medium,Short Distance
48,S35,427,Train,4026,0.86,Monsoon,0.55,20,86,55,Critical,High Risk,Medium,Short Distance
49,S26,115,Train,3963,0.43,Peak,0.4,10,43,40,Normal,Medium Risk,Short,Short Distance
50,S22,1047,Air,1423,0.45,Peak,0.37,61,45,37,Normal,Medium Risk,Very Long,Medium Distance
51,S46,132,Train,1540,0.59,Normal,0.01,6,59,1,Normal,Low Risk,Short,Short Distance
52,S23,296,Train,4779,0.31,Normal,0.18,10,31,18,Normal,Low Risk,Short,Short Distance
53,S47,1438,Ship,2332,0.37,Monsoon,0.27,23,37,27,Normal,Medium Risk,Medium,Medium Distance
54,S8,1423,Truck,914,0.15,Normal,0.55,38,15,55,Normal,High Risk,Long,Medium Distance
55,S36,793,Train,1161,0.57,Monsoon,0.55,25,57,55,Normal,High Risk,Medium,Medium Distance
56,S48,1176,Ship,4612,0.93,Peak,0.25,25,93,25,Critical,Medium Risk,Medium,Medium Distance
57,S6,1190,Truck,3017,0.51,Monsoon,0.47,36,51,47,Normal,High Risk,Long,Medium Distance
58,S31,1717,Train,912,0.82,Monsoon,0.15,37,82,15,Critical,Low Risk,Long,Long Distance
59,S49,1636,Train,3436,0.48,Normal,0.03,29,48,3,Normal,Low Risk,Medium,Long Distance
60,S19,99,Air,938,0.59,Normal,0.02,11,59,2,Normal,Low Risk,Short,Short Distance
61,S22,1640,Train,2716,0.26,Normal,0.16,29,26,16,Normal,Low Risk,Medium,Long Distance
62,S26,153,Ship,983,0.76,Normal,0.47,13,76,47,High,High Risk,Short,Short Distance
63,S34,1209,Truck,2649,0.51,Normal,0.34,33,51,34,Normal,Medium Risk,Long,Medium Distance
64,S26,1572,Air,2065,0.65,Peak,0.21,87,65,21,High,Low Risk,Very Long,Long Distance
65,S6,1180,Air,164,0.86,Monsoon,0.09,70,86,9,Critical,Low Risk,Very Long,Medium Distance
66,S35,1657,Air,110,0.62,Monsoon,0.24,94,62,24,High,Low Risk,Very Long,Long Distance
67,S34,1604,Air,2017,0.43,Monsoon,0.15,89,43,15,Normal,Low Risk,Very Long,Long Distance
68,S1,960,Train,3742,0.19,Peak,0.16,21,19,16,Normal,Low Risk,Medium,Medium Distance
69,S28,1689,Ship,317,0.34,Normal,0.08,23,34,8,Normal,Low Risk,Medium,Long Distance
70,S10,1306,Train,3880,0.67,Peak,0.51,31,67,51,High,High Risk,Long,Medium Distance
71,S31,1189,Train,3401,0.12,Normal,0.29,23,12,29,Normal,Medium Risk,Medium,Medium Distance
72,S17,65,Train,3612,0.83,Peak,0.32,11,83,32,Critical,Medium Risk,Short,Short Distance
73,S11,406,Truck,953,0.2,Peak,0.45,17,20,45,Normal,High Risk,Medium,Short Distance
74,S36,467,Air,2175,0.67,Monsoon,0.5,38,67,50,High,High Risk,Long,Short Distance
75,S18,294,Train,314,0.45,Peak,0.48,15,45,48,Normal,High Risk,Medium,Short Distance
76,S29,443,Air,4015,0.85,Peak,0.25,32,85,25,Critical,Medium Risk,Long,Short Distance
77,S47,1686,Air,2206,0.31,Normal,0.45,93,31,45,Normal,High Risk,Very Long,Long Distance
78,S1,1542,Ship,1758,0.2,Monsoon,0.46,24,20,46,Normal,High Risk,Medium,Long Distance
79,S14,1634,Ship,4845,0.12,Monsoon,0.23,24,12,23,Normal,Low Risk,Medium,Long Distance
80,S10,1273,Train,1532,0.55,Monsoon,0.06,30,55,6,Normal,Low Risk,Long,Medium Distance
81,S5,273,Ship,3111,0.57,Normal,0.52,15,57,52,Normal,High Risk,Medium,Short Distance
82,S13,673,Ship,3137,0.69,Monsoon,0.38,19,69,38,High,Medium Risk,Medium,Short Distance
83,S33,1364,Air,3121,0.42,Monsoon,0.35,79,42,35,Normal,Medium Risk,Very Long,Medium Distance
84,S4,395,Truck,4621,0.58,Peak,0.51,20,58,51,Normal,High Risk,Medium,Short Distance
85,S16,1780,Ship,3558,0.78,Monsoon,0.49,33,78,49,High,High Risk,Long,Long Distance
86,S35,207,Ship,4788,0.5,Normal,0.27,10,50,27,Normal,Medium Risk,Short,Short Distance
87,S27,1942,Air,3163,0.4,Peak,0.19,104,40,19,Normal,Low Risk,Very Long,Long Distance
88,S36,1749,Truck,3402,0.36,Monsoon,0.26,45,36,26,Normal,Medium Risk,Long,Long Distance
89,S44,85,Ship,1781,0.94,Normal,0.42,12,94,42,Critical,Medium Risk,Short,Short Distance
90,S34,924,Ship,4363,0.8,Normal,0.46,20,80,46,Critical,High Risk,Medium,Medium Distance
91,S3,1676,Train,2714,0.88,Monsoon,0.07,35,88,7,Critical,Low Risk,Long,Long Distance
92,S23,918,Train,2581,0.59,Monsoon,0.41,25,59,41,Normal,Medium Risk,Medium,Medium Distance
93,S30,1371,Ship,4374,0.59,Peak,0.46,25,59,46,Normal,High Risk,Medium,Medium Distance
94,S15,718,Air,3981,0.6,Peak,0.52,49,60,52,High,High Risk,Long,Short Distance
95,S42,510,Ship,338,0.55,Normal,0.35,12,55,35,Normal,Medium Risk,Short,Short Distance
96,S14,1253,Ship,1407,0.19,Normal,0.46,20,19,46,Normal,High Risk,Medium,Medium Distance
97,S35,881,Ship,4842,0.46,Monsoon,0.5,21,46,50,Normal,High Risk,Medium,Medium Distance
98,S11,1469,Ship,4772,0.93,Peak,0.15,26,93,15,Critical,Low Risk,Medium,Medium Distance
99,S5,960,Train,4011,0.68,Peak,0.23,23,68,23,High,Low Risk,Medium,Medium Distance
100,S30,1222,Ship,1704,0.36,Normal,0.03,16,36,3,Normal,Low Risk,Medium,Medium Distance
101,S34,1270,Train,1155,0.11,Peak,0.55,29,11,55,Normal,High Risk,Medium,Medium Distance
102,S27,733,Air,224,0.46,Normal,0.47,47,46,47,Normal,High Risk,Long,Short Distance
103,S20,508,Truck,1270,0.62,Monsoon,0.02,18,62,2,High,Low Risk,Medium,Short Distance
104,S7,1628,Train,3176,0.73,Normal,0.06,30,73,6,High,Low Risk,Long,Long Distance
105,S40,444,Air,155,0.15,Monsoon,0.36,31,15,36,Normal,Medium Risk,Long,Short Distance
106,S38,1482,Ship,2880,0.59,Normal,0.18,22,59,18,Normal,Low Risk,Medium,Medium Distance
107,S9,1271,Air,1172,0.25,Normal,0.41,71,25,41,Normal,Medium Risk,Very Long,Medium Distance
108,S4,954,Train,2608,0.44,Peak,0.3,24,44,30,Normal,Medium Risk,Medium,Medium Distance
109,S10,1035,Air,1913,0.36,Peak,0.01,58,36,1,Normal,Low Risk,Long,Medium Distance
110,S26,367,Air,2055,0.35,Peak,0.13,26,35,13,Normal,Low Risk,Medium,Short Distance
111,S43,1412,Truck,608,0.46,Monsoon,0.42,37,46,42,Normal,Medium Risk,Long,Medium Distance
112,S2,52,Train,2343,0.34,Peak,0.57,12,34,57,Normal,High Risk,Short,Short Distance
113,S10,1511,Train,1174,0.2,Normal,0.07,26,20,7,Normal,Low Risk,Medium,Long Distance
114,S9,1808,Train,4585,0.26,Peak,0.48,38,26,48,Normal,High Risk,Long,Long Distance
115,S44,1014,Ship,598,0.98,Monsoon,0.3,25,98,30,Critical,Medium Risk,Medium,Medium Distance
116,S17,126,Air,360,0.76,Monsoon,0.5,19,76,50,High,High Risk,Medium,Short Distance
117,S12,891,Air,2296,0.24,Monsoon,0.42,56,24,42,Normal,Medium Risk,Long,Medium Distance
118,S12,197,Air,1877,0.45,Normal,0.16,14,45,16,Normal,Low Risk,Short,Short Distance
119,S27,1281,Air,1940,0.6,Normal,0.41,73,60,41,High,Medium Risk,Very Long,Medium Distance
120,S1,1832,Train,1595,0.44,Peak,0.34,38,44,34,Normal,Medium Risk,Long,Long Distance
121,S32,1650,Truck,2765,0.49,Normal,0.38,41,49,38,Normal,Medium Risk,Long,Long Distance
122,S30,675,Truck,4387,0.11,Normal,0.41,21,11,41,Normal,Medium Risk,Medium,Short Distance
123,S15,858,Ship,174,0.57,Peak,0.28,17,57,28,Normal,Medium Risk,Medium,Medium Distance
124,S23,807,Air,242,0.18,Normal,0.03,42,18,3,Normal,Low Risk,Long,Medium Distance
125,S12,542,Train,3669,0.69,Monsoon,0.47,20,69,47,High,High Risk,Medium,Short Distance
126,S8,1010,Air,4764,0.15,Peak,0.18,58,15,18,Normal,Low Risk,Long,Medium Distance
127,S47,778,Train,3350,0.26,Peak,0.26,19,26,26,Normal,Medium Risk,Medium,Medium Distance
128,S32,1486,Ship,1813,0.93,Normal,0.18,23,93,18,Critical,Low Risk,Medium,Medium Distance
129,S21,1353,Train,1965,0.48,Monsoon,0.2,31,48,20,Normal,Low Risk,Long,Medium Distance
130,S37,1515,Truck,633,0.49,Normal,0.09,36,49,9,Normal,Low Risk,Long,Long Distance
131,S31,1022,Truck,1737,0.21,Monsoon,0.37,31,21,37,Normal,Medium Risk,Long,Medium Distance
132,S22,1365,Ship,3851,0.4,Monsoon,0.31,23,40,31,Normal,Medium Risk,Medium,Medium Distance
133,S30,345,Ship,1563,0.16,Peak,0.25,12,16,25,Normal,Medium Risk,Short,Short Distance
134,S14,156,Ship,4252,0.43,Monsoon,0.06,10,43,6,Normal,Low Risk,Short,Short Distance
135,S12,961,Air,3528,0.72,Normal,0.21,54,72,21,High,Low Risk,Long,Medium Distance
136,S23,1465,Train,835,0.86,Normal,0.34,30,86,34,Critical,Medium Risk,Long,Medium Distance
137,S5,61,Air,4629,0.41,Monsoon,0.29,14,41,29,Normal,Medium Risk,Short,Short Distance
138,S15,1054,Truck,1364,0.81,Monsoon,0.03,33,81,3,Critical,Low Risk,Long,Medium Distance
139,S41,955,Truck,3142,0.74,Normal,0.38,28,74,38,High,Medium Risk,Medium,Medium Distance
140,S33,237,Train,2530,0.83,Monsoon,0.37,17,83,37,Critical,Medium Risk,Medium,Short Distance
141,S1,974,Train,3320,0.96,Peak,0.14,25,96,14,Critical,Low Risk,Medium,Medium Distance
142,S12,130,Train,3946,0.58,Normal,0.07,8,58,7,Normal,Low Risk,Short,Short Distance
143,S2,761,Ship,2243,0.68,Normal,0.11,13,68,11,High,Low Risk,Short,Medium Distance
144,S13,1227,Ship,2519,0.6,Monsoon,0.19,22,60,19,High,Low Risk,Medium,Medium Distance
145,S3,1059,Air,3023,0.37,Monsoon,0.19,62,37,19,Normal,Low Risk,Very Long,Medium Distance
146,S30,666,Ship,3886,0.92,Monsoon,0.23,19,92,23,Critical,Low Risk,Medium,Short Distance
147,S21,992,Truck,1951,0.84,Normal,0.35,30,84,35,Critical,Medium Risk,Long,Medium Distance
148,S33,969,Ship,4044,0.83,Monsoon,0.08,20,83,8,Critical,Low Risk,Medium,Medium Distance
149,S10,876,Train,2473,0.1,Monsoon,0.52,23,10,52,Normal,High Risk,Medium,Medium Distance
150,S16,407,Train,2813,0.69,Monsoon,0.48,19,69,48,High,High Risk,Medium,Short Distance
151,S29,1770,Ship,3280,0.25,Normal,0.52,27,25,52,Normal,High Risk,Medium,Long Distance
152,S36,469,Train,4528,0.85,Peak,0.54,20,85,54,Critical,High Risk,Medium,Short Distance
153,S34,743,Ship,573,1,Normal,0.11,16,100,11,Critical,Low Risk,Medium,Short Distance
154,S23,226,Train,3902,0.73,Monsoon,0.47,15,73,47,High,High Risk,Medium,Short Distance
155,S36,1207,Air,2055,0.57,Monsoon,0.14,71,57,14,Normal,Low Risk,Very Long,Medium Distance
156,S39,965,Train,2298,0.96,Normal,0.51,25,96,51,Critical,High Risk,Medium,Medium Distance
157,S40,1299,Air,1587,0.21,Peak,0.5,74,21,50,Normal,High Risk,Very Long,Medium Distance
158,S18,69,Truck,2167,0.3,Peak,0.54,12,30,54,Normal,High Risk,Short,Short Distance
159,S47,560,Ship,299,0.76,Monsoon,0.37,18,76,37,High,Medium Risk,Medium,Short Distance
160,S22,1587,Train,305,0.88,Normal,0.01,31,88,1,Critical,Low Risk,Long,Long Distance
161,S8,1191,Air,2052,0.58,Normal,0.09,65,58,9,Normal,Low Risk,Very Long,Medium Distance
162,S45,1274,Train,4458,0.33,Monsoon,0,26,33,0,Normal,Low Risk,Medium,Medium Distance
163,S43,1021,Train,4265,0.51,Normal,0.42,23,51,42,Normal,Medium Risk,Medium,Medium Distance
164,S10,935,Air,3728,0.48,Peak,0.41,58,48,41,Normal,Medium Risk,Long,Medium Distance
165,S27,577,Truck,2444,0.76,Normal,0.11,19,76,11,High,Low Risk,Medium,Short Distance
166,S14,464,Air,4603,0.63,Peak,0.01,31,63,1,High,Low Risk,Long,Short Distance
167,S48,1365,Train,3822,0.11,Peak,0.09,28,11,9,Normal,Low Risk,Medium,Medium Distance
168,S50,1898,Train,4759,0.81,Normal,0.24,37,81,24,Critical,Low Risk,Long,Long Distance
169,S40,545,Truck,2234,0.68,Monsoon,0.42,24,68,42,High,Medium Risk,Medium,Short Distance
170,S44,1315,Train,1953,0.28,Monsoon,0.04,27,28,4,Normal,Low Risk,Medium,Medium Distance
171,S22,1902,Truck,2884,0.46,Peak,0.13,45,46,13,Normal,Low Risk,Long,Long Distance
172,S26,1833,Truck,1756,0.58,Normal,0.15,44,58,15,Normal,Low Risk,Long,Long Distance
173,S27,133,Ship,1685,0.6,Peak,0.54,15,60,54,High,High Risk,Medium,Short Distance
174,S14,129,Ship,451,0.42,Monsoon,0.12,9,42,12,Normal,Low Risk,Short,Short Distance
175,S11,1286,Train,4536,0.97,Monsoon,0.26,33,97,26,Critical,Medium Risk,Long,Medium Distance
176,S43,152,Train,2820,0.28,Peak,0.44,11,28,44,Normal,Medium Risk,Short,Short Distance
177,S42,1976,Air,2866,0.53,Peak,0.02,107,53,2,Normal,Low Risk,Very Long,Long Distance
178,S48,1854,Air,1449,0.77,Normal,0.4,101,77,40,High,Medium Risk,Very Long,Long Distance
179,S21,1499,Truck,3528,0.81,Normal,0.5,42,81,50,Critical,High Risk,Long,Medium Distance
180,S48,1115,Ship,3441,0.54,Monsoon,0.18,21,54,18,Normal,Low Risk,Medium,Medium Distance
181,S9,685,Truck,2487,0.94,Peak,0.12,25,94,12,Critical,Low Risk,Medium,Short Distance
182,S9,726,Truck,3325,0.71,Peak,0.11,21,71,11,High,Low Risk,Medium,Short Distance
183,S21,260,Train,969,0.41,Monsoon,0.27,14,41,27,Normal,Medium Risk,Short,Short Distance
184,S23,861,Ship,3570,0.94,Peak,0.46,23,94,46,Critical,High Risk,Medium,Medium Distance
185,S14,1644,Truck,4433,0.91,Normal,0.51,45,91,51,Critical,High Risk,Long,Long Distance
186,S50,529,Truck,381,0.84,Peak,0.27,21,84,27,Critical,Medium Risk,Medium,Short Distance
187,S12,1579,Train,452,0.29,Peak,0.41,33,29,41,Normal,Medium Risk,Long,Long Distance
188,S26,1209,Train,781,0.23,Normal,0.54,27,23,54,Normal,High Risk,Medium,Medium Distance
189,S9,940,Ship,263,0.79,Monsoon,0.49,24,79,49,High,High Risk,Medium,Medium Distance
190,S3,1325,Truck,820,0.77,Normal,0.06,34,77,6,High,Low Risk,Long,Medium Distance
191,S9,1253,Train,3426,0.34,Monsoon,0.34,29,34,34,Normal,Medium Risk,Medium,Medium Distance
192,S25,1200,Ship,661,0.73,Monsoon,0.53,26,73,53,High,High Risk,Medium,Medium Distance
193,S46,1210,Ship,3521,0.35,Peak,0.13,17,35,13,Normal,Low Risk,Medium,Medium Distance
194,S15,1610,Train,2489,0.77,Monsoon,0.25,37,77,25,High,Medium Risk,Long,Long Distance
195,S1,235,Train,4377,0.84,Normal,0.4,14,84,40,Critical,Medium Risk,Short,Short Distance
196,S10,617,Air,3339,0.52,Normal,0.58,41,52,58,Normal,High Risk,Long,Short Distance
197,S13,728,Train,245,0.22,Normal,0.2,16,22,20,Normal,Low Risk,Medium,Short Distance
198,S3,194,Ship,2409,0.67,Peak,0.59,13,67,59,High,High Risk,Short,Short Distance
199,S40,616,Truck,2116,0.89,Normal,0.49,23,89,49,Critical,High Risk,Medium,Short Distance
200,S49,400,Train,4808,0.54,Peak,0.19,13,54,19,Normal,Low Risk,Short,Short Distance
201,S14,1545,Ship,3920,0.92,Peak,0.4,27,92,40,Critical,Medium Risk,Medium,Long Distance
202,S45,1680,Ship,1852,0.88,Normal,0.26,26,88,26,Critical,Medium Risk,Medium,Long Distance
203,S41,817,Air,916,0.42,Monsoon,0.56,55,42,56,Normal,High Risk,Long,Medium Distance
204,S1,1368,Ship,1180,0.54,Monsoon,0.44,25,54,44,Normal,Medium Risk,Medium,Medium Distance
205,S34,298,Ship,4899,0.98,Normal,0.1,11,98,10,Critical,Low Risk,Short,Short Distance
206,S50,1719,Ship,3872,0.48,Monsoon,0.24,27,48,24,Normal,Low Risk,Medium,Long Distance
207,S44,724,Ship,4620,0.8,Monsoon,0.04,17,80,4,Critical,Low Risk,Medium,Short Distance
208,S37,1492,Air,3702,0.27,Normal,0.12,79,27,12,Normal,Low Risk,Very Long,Medium Distance
209,S17,342,Ship,4397,0.12,Normal,0.37,11,12,37,Normal,Medium Risk,Short,Short Distance
210,S49,760,Truck,2660,0.42,Normal,0.29,24,42,29,Normal,Medium Risk,Medium,Medium Distance
211,S42,1340,Truck,2117,0.89,Monsoon,0.38,41,89,38,Critical,Medium Risk,Long,Medium Distance
212,S17,456,Train,3728,0.39,Normal,0.27,15,39,27,Normal,Medium Risk,Medium,Short Distance
213,S2,1609,Train,4244,0.67,Peak,0.18,34,67,18,High,Low Risk,Long,Long Distance
214,S29,1996,Air,4040,0.81,Normal,0.58,111,81,58,Critical,High Risk,Very Long,Long Distance
215,S12,134,Air,2187,0.2,Monsoon,0.23,13,20,23,Normal,Low Risk,Short,Short Distance
216,S2,1341,Train,4019,1,Peak,0.16,28,100,16,Critical,Low Risk,Medium,Medium Distance
217,S45,1525,Truck,4536,0.67,Peak,0.38,41,67,38,High,Medium Risk,Long,Long Distance
218,S35,69,Ship,636,0.71,Monsoon,0.2,11,71,20,High,Low Risk,Short,Short Distance
219,S7,1300,Air,704,0.38,Peak,0.07,71,38,7,Normal,Low Risk,Very Long,Medium Distance
220,S39,1463,Train,116,0.87,Monsoon,0.02,31,87,2,Critical,Low Risk,Long,Medium Distance
221,S23,1861,Truck,744,0.46,Peak,0.14,45,46,14,Normal,Low Risk,Long,Long Distance
222,S17,115,Train,366,0.93,Peak,0.39,14,93,39,Critical,Medium Risk,Short,Short Distance
223,S36,1602,Air,1553,0.99,Normal,0.14,88,99,14,Critical,Low Risk,Very Long,Long Distance
224,S1,1353,Ship,1998,0.95,Monsoon,0.27,28,95,27,Critical,Medium Risk,Medium,Medium Distance
225,S20,92,Air,2815,0.8,Monsoon,0.44,16,80,44,Critical,Medium Risk,Medium,Short Distance
226,S13,1818,Truck,240,0.36,Monsoon,0.42,47,36,42,Normal,Medium Risk,Long,Long Distance
227,S30,1555,Train,4252,0.27,Normal,0.38,30,27,38,Normal,Medium Risk,Long,Long Distance
228,S30,924,Train,4092,0.26,Monsoon,0.07,22,26,7,Normal,Low Risk,Medium,Medium Distance
229,S32,1968,Truck,2183,0.58,Monsoon,0.57,53,58,57,Normal,High Risk,Long,Long Distance
230,S8,1989,Truck,272,0.61,Monsoon,0.57,52,61,57,High,High Risk,Long,Long Distance
231,S32,137,Train,218,0.25,Normal,0.5,11,25,50,Normal,High Risk,Short,Short Distance
232,S26,758,Air,3273,0.15,Monsoon,0.4,48,15,40,Normal,Medium Risk,Long,Medium Distance
233,S36,1152,Train,1888,0.56,Monsoon,0.47,29,56,47,Normal,High Risk,Medium,Medium Distance
234,S45,1973,Train,2577,0.59,Peak,0.47,42,59,47,Normal,High Risk,Long,Long Distance
235,S26,303,Air,2563,0.53,Peak,0.12,23,53,12,Normal,Low Risk,Medium,Short Distance
236,S50,215,Ship,1693,0.74,Normal,0.57,15,74,57,High,High Risk,Medium,Short Distance
237,S39,1245,Train,1631,0.85,Monsoon,0.3,33,85,30,Critical,Medium Risk,Long,Medium Distance
238,S1,446,Ship,596,0.4,Peak,0.21,10,40,21,Normal,Low Risk,Short,Short Distance
239,S18,577,Truck,4002,0.77,Normal,0.18,19,77,18,High,Low Risk,Medium,Short Distance
240,S2,498,Truck,4302,0.57,Peak,0.09,17,57,9,Normal,Low Risk,Medium,Short Distance
241,S7,1881,Air,3026,0.14,Peak,0.55,103,14,55,Normal,High Risk,Very Long,Long Distance
242,S19,1140,Air,4080,0.14,Normal,0.26,59,14,26,Normal,Medium Risk,Long,Medium Distance
243,S41,1097,Truck,2544,0.18,Normal,0.04,27,18,4,Normal,Low Risk,Medium,Medium Distance
244,S10,1223,Train,4059,0.54,Normal,0.28,24,54,28,Normal,Medium Risk,Medium,Medium Distance
245,S36,847,Train,4401,0.15,Peak,0.19,21,15,19,Normal,Low Risk,Medium,Medium Distance
246,S35,347,Truck,2981,0.26,Monsoon,0.32,16,26,32,Normal,Medium Risk,Medium,Short Distance
247,S38,1335,Ship,1729,0.63,Peak,0.01,21,63,1,High,Low Risk,Medium,Medium Distance
248,S8,253,Truck,980,0.34,Peak,0.2,13,34,20,Normal,Low Risk,Short,Short Distance
249,S40,859,Train,3817,0.82,Monsoon,0.01,22,82,1,Critical,Low Risk,Medium,Medium Distance
250,S4,1319,Train,1399,0.95,Monsoon,0.59,38,95,59,Critical,High Risk,Long,Medium Distance
251,S1,1835,Ship,3602,0.41,Peak,0,25,41,0,Normal,Low Risk,Medium,Long Distance
252,S4,158,Air,1820,0.65,Normal,0.13,15,65,13,High,Low Risk,Medium,Short Distance
253,S36,1536,Ship,1138,0.93,Peak,0.29,28,93,29,Critical,Medium Risk,Medium,Long Distance
254,S3,1213,Air,1575,0.37,Monsoon,0.3,71,37,30,Normal,Medium Risk,Very Long,Medium Distance
255,S21,482,Train,4226,0.59,Monsoon,0.34,18,59,34,Normal,Medium Risk,Medium,Short Distance
256,S45,1708,Truck,94,0.33,Peak,0.1,41,33,10,Normal,Low Risk,Long,Long Distance
257,S31,1055,Truck,499,0.78,Normal,0.31,30,78,31,High,Medium Risk,Long,Medium Distance
258,S44,1989,Air,349,0.17,Monsoon,0.04,106,17,4,Normal,Low Risk,Very Long,Long Distance
259,S43,1823,Air,1287,0.98,Monsoon,0.11,102,98,11,Critical,Low Risk,Very Long,Long Distance
260,S25,919,Truck,2637,0.92,Monsoon,0.27,30,92,27,Critical,Medium Risk,Long,Medium Distance
261,S31,229,Ship,1453,0.33,Normal,0.26,10,33,26,Normal,Medium Risk,Short,Short Distance
262,S24,1810,Truck,3695,0.51,Monsoon,0.25,46,51,25,Normal,Medium Risk,Long,Long Distance
263,S3,62,Ship,3197,0.16,Monsoon,0.4,10,16,40,Normal,Medium Risk,Short,Short Distance
264,S47,79,Ship,941,0.77,Peak,0.47,13,77,47,High,High Risk,Short,Short Distance
