order_id,supplier_id,distance_km,transport_mode,order_quantity,warehouse_load,season,delay_history,lead_time_days
43,S40,437,Ship,97,0.61,Normal,0.28,12
44,S19,351,Train,3840,0.25,Monsoon,0.39,17
45,S27,892,Ship,3307,0.42,Normal,0.47,17
46,S34,815,Train,1400,0.46,Monsoon,0.07,20
47,S14,744,Train,662,0.86,Monsoon,0.31,24
48,S35,427,Train,4026,0.86,Monsoon,0.55,20
49,S26,115,Train,3963,0.43,Peak,0.4,10
50,S22,1047,Air,1423,0.45,Peak,0.37,61
51,S46,132,Train,1540,0.59,Normal,0.01,6
52,S23,296,Train,4779,0.31,Normal,0.18,10
53,S47,1438,Ship,2332,0.37,Monsoon,0.27,23
54,S8,1423,Truck,914,0.15,Normal,0.55,38
55,S36,793,Train,1161,0.57,Monsoon,0.55,25
56,S48,1176,Ship,4612,0.93,Peak,0.25,25
57,S6,1190,Truck,3017,0.51,Monsoon,0.47,36
58,S31,1717,Train,912,0.82,Monsoon,0.15,37
59,S49,1636,Train,3436,0.48,Normal,0.03,29
60,S19,99,Air,938,0.59,Normal,0.02,11
61,S22,1640,Train,2716,0.26,Normal,0.16,29
62,S26,153,Ship,983,0.76,Normal,0.47,13
63,S34,1209,Truck,2649,0.51,Normal,0.34,33
64,S26,1572,Air,2065,0.65,Peak,0.21,87
65,S6,1180,Air,164,0.86,Monsoon,0.09,70
66,S35,1657,Air,110,0.62,Monsoon,0.24,94
67,S34,1604,Air,2017,0.43,Monsoon,0.15,89
68,S1,960,Train,3742,0.19,Peak,0.16,21
69,S28,1689,Ship,317,0.34,Normal,0.08,23
70,S10,1306,Train,3880,0.67,Peak,0.51,31
71,S31,1189,Train,3401,0.12,Normal,0.29,23
72,S17,65,Train,3612,0.83,Peak,0.32,11
73,S11,406,Truck,953,0.2,Peak,0.45,17
74,S36,467,Air,2175,0.67,Monsoon,0.5,38
75,S18,294,Train,314,0.45,Peak,0.48,15
76,S29,443,Air,4015,0.85,Peak,0.25,32
77,S47,1686,Air,2206,0.31,Normal,0.45,93
78,S1,1542,Ship,1758,0.2,Monsoon,0.46,24
79,S14,1634,Ship,4845,0.12,Monsoon,0.23,24
80,S10,1273,Train,1532,0.55,Monsoon,0.06,30
81,S5,273,Ship,3111,0.57,Normal,0.52,15
82,S13,673,Ship,3137,0.69,Monsoon,0.38,19
83,S33,1364,Air,3121,0.42,Monsoon,0.35,79
84,S4,395,Truck,4621,0.58,Peak,0.51,20
85,S16,1780,Ship,3558,0.78,Monsoon,0.49,33
86,S35,207,Ship,4788,0.5,Normal,0.27,10
87,S27,1942,Air,3163,0.4,Peak,0.19,104
88,S36,1749,Truck,3402,0.36,Monsoon,0.26,45
89,S44,85,Ship,1781,0.94,Normal,0.42,12
90,S34,924,Ship,4363,0.8,Normal,0.46,20
91,S3,1676,Train,2714,0.88,Monsoon,0.07,35
92,S23,918,Train,2581,0.59,Monsoon,0.41,25
93,S30,1371,Ship,4374,0.59,Peak,0.46,25
94,S15,718,Air,3981,0.6,Peak,0.52,49
95,S42,510,Ship,338,0.55,Normal,0.35,12
96,S14,1253,Ship,1407,0.19,Normal,0.46,20
97,S35,881,Ship,4842,0.46,Monsoon,0.5,21
98,S11,1469,Ship,4772,0.93,Peak,0.15,26
99,S5,960,Train,4011,0.68,Peak,0.23,23
100,S30,1222,Ship,1704,0.36,Normal,0.03,16
101,S34,1270,Train,1155,0.11,Peak,0.55,29
102,S27,733,Air,224,0.46,Normal,0.47,47
103,S20,508,Truck,1270,0.62,Monsoon,0.02,18
104,S7,1628,Train,3176,0.73,Normal,0.06,30
105,S40,444,Air,155,0.15,Monsoon,0.36,31
106,S38,1482,Ship,2880,0.59,Normal,0.18,22
107,S9,1271,Air,1172,0.25,Normal,0.41,71
108,S4,954,Train,2608,0.44,Peak,0.3,24
109,S10,1035,Air,1913,0.36,Peak,0.01,58
110,S26,367,Air,2055,0.35,Peak,0.13,26
111,S43,1412,Truck,608,0.46,Monsoon,0.42,37
112,S2,52,Train,2343,0.34,Peak,0.57,12
113,S10,1511,Train,1174,0.2,Normal,0.07,26
114,S9,1808,Train,4585,0.26,Peak,0.48,38
115,S44,1014,Ship,598,0.98,Monsoon,0.3,25
116,S17,126,Air,360,0.76,Monsoon,0.5,19
117,S12,891,Air,2296,0.24,Monsoon,0.42,56
118,S12,197,Air,1877,0.45,Normal,0.16,14
119,S27,1281,Air,1940,0.6,Normal,0.41,73
120,S1,1832,Train,1595,0.44,Peak,0.34,38
121,S32,1650,Truck,2765,0.49,Normal,0.38,41
122,S30,675,Truck,4387,0.11,Normal,0.41,21
123,S15,858,Ship,174,0.57,Peak,0.28,17
124,S23,807,Air,242,0.18,Normal,0.03,42
125,S12,542,Train,3669,0.69,Monsoon,0.47,20
126,S8,1010,Air,4764,0.15,Peak,0.18,58
127,S47,778,Train,3350,0.26,Peak,0.26,19
128,S32,1486,Ship,1813,0.93,Normal,0.18,23
129,S21,1353,Train,1965,0.48,Monsoon,0.2,31
130,S37,1515,Truck,633,0.49,Normal,0.09,36
131,S31,1022,Truck,1737,0.21,Monsoon,0.37,31
132,S22,1365,Ship,3851,0.4,Monsoon,0.31,23
133,S30,345,Ship,1563,0.16,Peak,0.25,12
134,S14,156,Ship,4252,0.43,Monsoon,0.06,10
135,S12,961,Air,3528,0.72,Normal,0.21,54
136,S23,1465,Train,835,0.86,Normal,0.34,30
137,S5,61,Air,4629,0.41,Monsoon,0.29,14
138,S15,1054,Truck,1364,0.81,Monsoon,0.03,33
139,S41,955,Truck,3142,0.74,Normal,0.38,28
140,S33,237,Train,2530,0.83,Monsoon,0.37,17
141,S1,974,Train,3320,0.96,Peak,0.14,25
142,S12,130,Train,3946,0.58,Normal,0.07,8
143,S2,761,Ship,2243,0.68,Normal,0.11,13
144,S13,1227,Ship,2519,0.6,Monsoon,0.19,22
145,S3,1059,Air,3023,0.37,Monsoon,0.19,62
146,S30,666,Ship,3886,0.92,Monsoon,0.23,19
147,S21,992,Truck,1951,0.84,Normal,0.35,30
148,S33,969,Ship,4044,0.83,Monsoon,0.08,20
149,S10,876,Train,2473,0.1,Monsoon,0.52,23
150,S16,407,Train,2813,0.69,Monsoon,0.48,19
151,S29,1770,Ship,3280,0.25,Normal,0.52,27
152,S36,469,Train,4528,0.85,Peak,0.54,20
153,S34,743,Ship,573,1.0,Normal,0.11,16
154,S23,226,Train,3902,0.73,Monsoon,0.47,15
155,S36,1207,Air,2055,0.57,Monsoon,0.14,71
156,S39,965,Train,2298,0.96,Normal,0.51,25
157,S40,1299,Air,1587,0.21,Peak,0.5,74
158,S18,69,Truck,2167,0.3,Peak,0.54,12
159,S47,560,Ship,299,0.76,Monsoon,0.37,18
160,S22,1587,Train,305,0.88,Normal,0.01,31
161,S8,1191,Air,2052,0.58,Normal,0.09,65
162,S45,1274,Train,4458,0.33,Monsoon,0.0,26
163,S43,1021,Train,4265,0.51,Normal,0.42,23
164,S10,935,Air,3728,0.48,Peak,0.41,58
165,S27,577,Truck,2444,0.76,Normal,0.11,19
166,S14,464,Air,4603,0.63,Peak,0.01,31
167,S48,1365,Train,3822,0.11,Peak,0.09,28
168,S50,1898,Train,4759,0.81,Normal,0.24,37
169,S40,545,Truck,2234,0.68,Monsoon,0.42,24
170,S44,1315,Train,1953,0.28,Monsoon,0.04,27
171,S22,1902,Truck,2884,0.46,Peak,0.13,45
172,S26,1833,Truck,1756,0.58,Normal,0.15,44
173,S27,133,Ship,1685,0.6,Peak,0.54,15
174,S14,129,Ship,451,0.42,Monsoon,0.12,9
175,S11,1286,Train,4536,0.97,Monsoon,0.26,33
176,S43,152,Train,2820,0.28,Peak,0.44,11
177,S42,1976,Air,2866,0.53,Peak,0.02,107
178,S48,1854,Air,1449,0.77,Normal,0.4,101
179,S21,1499,Truck,3528,0.81,Normal,0.5,42
180,S48,1115,Ship,3441,0.54,Monsoon,0.18,21
181,S9,685,Truck,2487,0.94,Peak,0.12,25
182,S9,726,Truck,3325,0.71,Peak,0.11,21
183,S21,260,Train,969,0.41,Monsoon,0.27,14
184,S23,861,Ship,3570,0.94,Peak,0.46,23
185,S14,1644,Truck,4433,0.91,Normal,0.51,45
186,S50,529,Truck,381,0.84,Peak,0.27,21
187,S12,1579,Train,452,0.29,Peak,0.41,33
188,S26,1209,Train,781,0.23,Normal,0.54,27
189,S9,940,Ship,263,0.79,Monsoon,0.49,24
190,S3,1325,Truck,820,0.77,Normal,0.06,34
191,S9,1253,Train,3426,0.34,Monsoon,0.34,29
192,S25,1200,Ship,661,0.73,Monsoon,0.53,26
193,S46,1210,Ship,3521,0.35,Peak,0.13,17
194,S15,1610,Train,2489,0.77,Monsoon,0.25,37
195,S1,235,Train,4377,0.84,Normal,0.4,14
196,S10,617,Air,3339,0.52,Normal,0.58,41
197,S13,728,Train,245,0.22,Normal,0.2,16
198,S3,194,Ship,2409,0.67,Peak,0.59,13
199,S40,616,Truck,2116,0.89,Normal,0.49,23
200,S49,400,Train,4808,0.54,Peak,0.19,13
201,S14,1545,Ship,3920,0.92,Peak,0.4,27
202,S45,1680,Ship,1852,0.88,Normal,0.26,26
203,S41,817,Air,916,0.42,Monsoon,0.56,55
204,S1,1368,Ship,1180,0.54,Monsoon,0.44,25
205,S34,298,Ship,4899,0.98,Normal,0.1,11
206,S50,1719,Ship,3872,0.48,Monsoon,0.24,27
207,S44,724,Ship,4620,0.8,Monsoon,0.04,17
208,S37,1492,Air,3702,0.27,Normal,0.12,79
209,S17,342,Ship,4397,0.12,Normal,0.37,11
210,S49,760,Truck,2660,0.42,Normal,0.29,24
211,S42,1340,Truck,2117,0.89,Monsoon,0.38,41
212,S17,456,Train,3728,0.39,Normal,0.27,15
213,S2,1609,Train,4244,0.67,Peak,0.18,34
214,S29,1996,Air,4040,0.81,Normal,0.58,111
215,S12,134,Air,2187,0.2,Monsoon,0.23,13
216,S2,1341,Train,4019,1.0,Peak,0.16,28
217,S45,1525,Truck,4536,0.67,Peak,0.38,41
218,S35,69,Ship,636,0.71,Monsoon,0.2,11
219,S7,1300,Air,704,0.38,Peak,0.07,71
220,S39,1463,Train,116,0.87,Monsoon,0.02,31
221,S23,1861,Truck,744,0.46,Peak,0.14,45
222,S17,115,Train,366,0.93,Peak,0.39,14
223,S36,1602,Air,1553,0.99,Normal,0.14,88
224,S1,1353,Ship,1998,0.95,Monsoon,0.27,28
225,S20,92,Air,2815,0.8,Monsoon,0.44,16
226,S13,1818,Truck,240,0.36,Monsoon,0.42,47
227,S30,1555,Train,4252,0.27,Normal,0.38,30
228,S30,924,Train,4092,0.26,Monsoon,0.07,22
229,S32,1968,Truck,2183,0.58,Monsoon,0.57,53
230,S8,1989,Truck,272,0.61,Monsoon,0.57,52
231,S32,137,Train,218,0.25,Normal,0.5,11
232,S26,758,Air,3273,0.15,Monsoon,0.4,48
233,S36,1152,Train,1888,0.56,Monsoon,0.47,29
234,S45,1973,Train,2577,0.59,Peak,0.47,42
235,S26,303,Air,2563,0.53,Peak,0.12,23
236,S50,215,Ship,1693,0.74,Normal,0.57,15
237,S39,1245,Train,1631,0.85,Monsoon,0.3,33
238,S1,446,Ship,596,0.4,Peak,0.21,10
239,S18,577,Truck,4002,0.77,Normal,0.18,19
240,S2,498,Truck,4302,0.57,Peak,0.09,17
241,S7,1881,Air,3026,0.14,Peak,0.55,103
242,S19,1140,Air,4080,0.14,Normal,0.26,59
243,S41,1097,Truck,2544,0.18,Normal,0.04,27
244,S10,1223,Train,4059,0.54,Normal,0.28,24
245,S36,847,Train,4401,0.15,Peak,0.19,21
246,S35,347,Truck,2981,0.26,Monsoon,0.32,16
247,S38,1335,Ship,1729,0.63,Peak,0.01,21
248,S8,253,Truck,980,0.34,Peak,0.2,13
249,S40,859,Train,3817,0.82,Monsoon,0.01,22
250,S4,1319,Train,1399,0.95,Monsoon,0.59,38
251,S1,1835,Ship,3602,0.41,Peak,0.0,25
252,S4,158,Air,1820,0.65,Normal,0.13,15
253,S36,1536,Ship,1138,0.93,Peak,0.29,28
254,S3,1213,Air,1575,0.37,Monsoon,0.3,71
255,S21,482,Train,4226,0.59,Monsoon,0.34,18
256,S45,1708,Truck,94,0.33,Peak,0.1,41
257,S31,1055,Truck,499,0.78,Normal,0.31,30
258,S44,1989,Air,349,0.17,Monsoon,0.04,106
259,S43,1823,Air,1287,0.98,Monsoon,0.11,102
260,S25,919,Truck,2637,0.92,Monsoon,0.27,30
261,S31,229,Ship,1453,0.33,Normal,0.26,10
262,S24,1810,Truck,3695,0.51,Monsoon,0.25,46
263,S3,62,Ship,3197,0.16,Monsoon,0.4,10
264,S47,79,Ship,941,0.77,Peak,0.47,13
265,S8,305,Truck,4544,0.52,Normal,0.04,11
266,S5,1597,Train,3417,0.6,Monsoon,0.52,36
267,S29,1061,Air,1161,0.65,Peak,0.05,59
268,S4,183,Truck,2242,0.39,Normal,0.42,14
269,S15,266,Ship,1462,0.58,Monsoon,0.6,16
270,S24,981,Air,2276,0.78,Monsoon,0.32,62
271,S48,1333,Truck,3021,0.49,Normal,0.28,34
272,S20,219,Ship,4684,0.8,Monsoon,0.23,12
273,S42,931,Truck,1101,0.55,Peak,0.07,26
274,S13,984,Train,2351,0.24,Normal,0.33,20
275,S4,62,Air,404,0.67,Normal,0.45,15
276,S20,493,Air,4618,0.44,Monsoon,0.55,36
277,S32,1261,Air,4412,0.16,Monsoon,0.08,69
278,S35,312,Ship,2454,0.14,Peak,0.39,13
279,S30,685,Air,1065,0.21,Monsoon,0.17,43
280,S27,1464,Train,4147,0.68,Peak,0.35,32
281,S30,766,Air,3041,0.98,Peak,0.22,48
282,S16,488,Ship,1936,0.17,Peak,0.54,15
283,S36,206,Truck,3389,0.51,Normal,0.57,12
284,S8,1973,Ship,3987,0.27,Normal,0.49,28
285,S1,1546,Air,1986,0.33,Monsoon,0.6,90
286,S2,1929,Air,3291,0.3,Normal,0.12,102
287,S1,362,Air,584,0.76,Peak,0.34,30
288,S44,64,Air,2769,0.31,Peak,0.28,13
289,S1,1015,Ship,1772,0.3,Normal,0.15,16
290,S14,1300,Train,290,0.72,Monsoon,0.33,33
291,S7,434,Ship,2630,0.21,Peak,0.22,12
292,S15,1457,Truck,3162,0.91,Normal,0.15,38
293,S43,1399,Ship,3737,0.88,Normal,0.52,26
294,S2,416,Air,1404,0.79,Monsoon,0.16,30
295,S47,1769,Ship,916,0.96,Monsoon,0.25,31
296,S50,945,Truck,1158,0.26,Monsoon,0.09,25
297,S2,477,Ship,3012,0.23,Peak,0.13,12
298,S28,59,Ship,895,0.68,Normal,0.08,8
299,S34,548,Truck,3484,0.61,Monsoon,0.29,21
300,S29,1037,Train,619,0.87,Monsoon,0.39,30
301,S28,286,Train,352,0.3,Monsoon,0.15,13
302,S19,285,Ship,4684,0.1,Peak,0.37,10
303,S18,1563,Air,1487,0.66,Monsoon,0.52,93
304,S1,1367,Air,2703,0.66,Monsoon,0.57,84
305,S50,1347,Air,3898,0.45,Peak,0.02,73
306,S29,1964,Ship,3664,0.13,Monsoon,0.52,29
307,S31,696,Ship,522,0.67,Peak,0.32,17
308,S18,1228,Train,3443,0.92,Peak,0.27,30
309,S7,349,Ship,702,0.39,Peak,0.45,14
310,S14,1547,Air,3331,0.16,Normal,0.19,83
311,S23,871,Truck,3486,0.46,Normal,0.44,26
312,S50,1716,Ship,4749,0.95,Peak,0.03,26
313,S31,1572,Truck,2605,0.13,Normal,0.05,35
314,S15,1623,Air,4404,0.41,Monsoon,0.53,93
315,S14,709,Truck,2751,0.57,Monsoon,0.54,26
316,S50,1039,Train,228,0.83,Peak,0.14,24
317,S9,1422,Air,4716,0.51,Normal,0.29,78
318,S31,814,Ship,1136,0.76,Normal,0.04,14
319,S13,1457,Train,3347,0.1,Monsoon,0.28,30
320,S5,1069,Truck,4275,0.85,Peak,0.05,29
321,S12,954,Air,2568,0.28,Normal,0.52,55
322,S6,1387,Air,697,0.47,Peak,0.21,78
323,S32,1685,Ship,1378,0.49,Normal,0.13,22
324,S24,694,Train,1406,0.14,Monsoon,0.05,18
325,S49,560,Truck,703,0.26,Peak,0.3,19
326,S38,824,Train,2494,0.37,Normal,0.58,22
327,S45,156,Ship,3221,0.26,Peak,0.44,12
328,S3,1852,Truck,4167,0.71,Monsoon,0.25,49
329,S1,1422,Ship,3059,0.73,Monsoon,0.56,30
330,S42,1249,Air,4828,0.57,Peak,0.02,69
331,S25,1793,Truck,1453,0.78,Monsoon,0.58,51
332,S18,761,Truck,279,0.43,Monsoon,0.55,28
333,S42,1926,Train,1045,0.58,Normal,0.06,35
334,S45,1950,Train,4371,0.43,Peak,0.59,41
335,S23,937,Air,995,0.58,Peak,0.41,59
336,S42,1374,Train,4825,0.97,Peak,0.52,36
337,S5,1515,Ship,4132,0.61,Peak,0.19,23
338,S6,431,Truck,4601,0.89,Monsoon,0.16,20
339,S34,931,Air,2204,0.88,Monsoon,0.38,61
340,S13,1466,Train,1941,0.56,Peak,0.11,30
341,S50,459,Truck,136,0.42,Monsoon,0.49,22
342,S39,1111,Train,2820,0.51,Monsoon,0.49,29
343,S46,1794,Truck,163,0.38,Peak,0.58,48
344,S41,202,Train,1267,0.75,Monsoon,0.51,17
345,S37,1447,Air,3495,0.38,Peak,0.22,79
346,S50,1500,Ship,3438,0.99,Normal,0.28,25
347,S42,160,Air,3088,0.81,Peak,0.11,17
348,S33,78,Truck,1939,0.16,Normal,0.3,8
349,S12,1992,Train,493,0.92,Monsoon,0.06,40
350,S36,325,Ship,3881,0.54,Peak,0.02,10
351,S35,759,Truck,903,0.3,Monsoon,0.6,28
352,S22,1043,Air,3797,0.34,Normal,0.02,56
353,S11,64,Truck,2702,0.21,Normal,0.26,7
354,S5,1262,Truck,2062,0.22,Monsoon,0.57,38
355,S49,386,Truck,4302,0.84,Normal,0.4,19
356,S16,383,Air,590,0.76,Normal,0.28,29
357,S28,362,Truck,4348,0.83,Normal,0.35,15
358,S24,702,Air,1529,0.27,Monsoon,0.37,46
359,S46,916,Truck,2694,0.61,Normal,0.49,28
360,S39,1295,Train,2337,0.27,Normal,0.19,26
361,S13,1007,Air,3841,0.94,Normal,0.06,57
362,S1,528,Train,652,0.17,Monsoon,0.6,18
363,S9,1443,Air,3236,0.67,Monsoon,0.32,83
364,S50,1532,Air,4978,0.14,Monsoon,0.24,86
365,S50,1237,Train,2939,0.6,Normal,0.23,24
366,S42,1825,Ship,1812,0.54,Monsoon,0.58,32
367,S41,91,Truck,3959,0.89,Monsoon,0.34,13
368,S11,422,Ship,126,0.8,Peak,0.2,15
369,S48,1323,Air,271,0.47,Normal,0.3,73
370,S14,627,Truck,4739,0.77,Monsoon,0.25,24
371,S20,1492,Ship,2434,0.41,Normal,0.34,24
372,S3,736,Train,1286,0.99,Peak,0.26,23
373,S34,1055,Ship,1962,0.92,Normal,0.2,20
374,S12,945,Ship,1664,0.15,Peak,0.25,18
375,S48,827,Train,1001,0.12,Peak,0.33,19
376,S34,1664,Ship,2399,0.46,Monsoon,0.11,26
377,S39,255,Truck,242,0.46,Monsoon,0.41,17
378,S42,884,Air,2481,0.88,Peak,0.1,54
379,S46,104,Truck,3080,0.35,Normal,0.02,5
380,S4,1137,Ship,4663,0.78,Monsoon,0.27,23
381,S28,1034,Truck,2312,0.49,Monsoon,0.56,33
382,S28,1131,Air,3833,0.43,Normal,0.45,65
383,S30,1611,Ship,4875,0.53,Monsoon,0.41,28
384,S4,232,Air,2241,0.68,Peak,0.31,23
385,S21,1319,Air,1371,0.51,Normal,0.35,73
386,S39,863,Ship,3232,0.29,Peak,0.44,19
387,S18,211,Truck,2953,0.39,Monsoon,0.56,15
388,S38,82,Truck,3791,0.46,Normal,0.29,10
389,S18,1671,Truck,1761,0.73,Normal,0.42,43
390,S36,175,Truck,3474,0.35,Peak,0.03,9
391,S26,1636,Truck,4036,0.73,Monsoon,0.56,47
392,S12,831,Train,1796,0.54,Normal,0.27,20
393,S29,1732,Train,3117,0.76,Monsoon,0.1,35
394,S33,1856,Truck,3842,0.8,Normal,0.42,47
395,S13,959,Air,3521,0.65,Monsoon,0.31,60
396,S31,226,Train,1848,0.89,Monsoon,0.41,18
397,S49,1101,Train,2154,0.82,Normal,0.37,28
398,S10,1890,Air,4799,0.32,Normal,0.21,99
399,S42,992,Air,2473,0.37,Monsoon,0.36,57
400,S14,354,Air,4366,0.76,Monsoon,0.21,28
401,S9,1627,Truck,3024,0.33,Normal,0.32,39
402,S21,1798,Truck,51,0.12,Normal,0.42,43
403,S5,1125,Train,3876,0.5,Normal,0.5,26
404,S44,1136,Ship,3577,0.78,Peak,0.56,25
405,S50,496,Train,71,0.99,Peak,0.09,17
406,S37,1591,Ship,2905,0.69,Normal,0.3,23
407,S35,232,Truck,4135,0.65,Monsoon,0.34,17
408,S22,682,Air,1625,0.51,Peak,0.26,43
409,S3,1350,Air,3703,0.37,Monsoon,0.27,76
410,S14,1624,Ship,3555,0.44,Monsoon,0.21,26
411,S5,907,Train,1596,0.76,Monsoon,0.17,24
412,S26,1291,Air,1205,0.22,Monsoon,0.02,70
413,S37,1816,Ship,3245,0.9,Peak,0.01,28
414,S39,1903,Train,112,0.94,Peak,0.34,41
415,S36,520,Ship,1392,0.87,Monsoon,0.07,16
416,S42,262,Truck,778,0.47,Normal,0.11,10
417,S48,211,Truck,1382,0.35,Normal,0.09,10
418,S40,646,Ship,2650,0.68,Normal,0.19,14
419,S24,417,Train,4500,0.14,Peak,0.44,16
420,S40,205,Truck,4369,0.42,Normal,0.58,16
421,S7,1994,Train,3229,0.8,Peak,0.57,44
422,S48,1280,Ship,4991,0.76,Monsoon,0.13,22
423,S8,1122,Truck,995,0.35,Normal,0.04,26
424,S45,41,Train,3500,0.41,Normal,0.21,7
425,S30,1540,Train,471,0.69,Peak,0.16,32
426,S13,1262,Ship,1841,0.77,Normal,0.05,19
427,S42,1503,Train,1368,0.32,Monsoon,0.05,28
428,S32,559,Air,3892,0.61,Monsoon,0.25,39
429,S33,1059,Truck,3347,0.3,Peak,0.3,29
430,S25,1045,Air,4804,0.18,Peak,0.49,63
431,S1,1257,Train,4499,0.34,Normal,0.42,27
432,S7,804,Air,530,0.8,Normal,0.51,51
433,S10,404,Air,3282,0.92,Normal,0.6,33
434,S26,947,Truck,1686,0.86,Monsoon,0.5,33
435,S7,975,Ship,2266,0.12,Peak,0.03,14
436,S49,313,Air,3321,0.2,Peak,0.4,26
437,S14,1987,Truck,2458,0.57,Monsoon,0.52,54
438,S9,1286,Truck,2549,0.16,Normal,0.14,30
439,S47,843,Truck,3846,0.65,Peak,0.05,25
440,S16,1819,Truck,2306,0.81,Monsoon,0.21,49
441,S31,1852,Ship,1418,0.98,Monsoon,0.16,31
442,S1,729,Air,1753,0.41,Peak,0.12,45
443,S49,1437,Ship,473,0.21,Peak,0.41,23
444,S32,1255,Ship,2402,0.17,Peak,0.46,22
445,S49,839,Air,4125,0.92,Monsoon,0.4,57
446,S19,430,Train,3783,0.64,Peak,0.43,18
447,S15,226,Train,178,0.46,Monsoon,0.43,17
448,S50,117,Air,3841,0.37,Peak,0.17,13
449,S6,472,Air,4823,0.92,Normal,0.6,35
450,S42,1904,Train,1527,0.21,Normal,0.09,32
451,S24,1973,Train,1395,0.29,Normal,0.35,36
452,S27,1436,Air,1129,0.72,Normal,0.02,77
453,S6,1619,Train,1320,0.26,Peak,0.04,29
454,S30,78,Ship,4350,0.36,Normal,0.54,10
455,S24,1102,Truck,4988,0.18,Monsoon,0.36,33
456,S23,479,Truck,3666,0.81,Peak,0.31,21
457,S43,1815,Air,4768,0.96,Normal,0.38,102
458,S7,103,Ship,4067,0.66,Peak,0.21,11
459,S41,338,Ship,4135,0.58,Peak,0.05,13
460,S26,1588,Air,183,0.3,Peak,0.3,88
461,S40,913,Train,4537,0.68,Peak,0.06,23
462,S48,1546,Truck,4021,0.31,Normal,0.05,35
463,S48,1652,Air,4974,0.47,Monsoon,0.04,89
464,S2,1482,Truck,3407,0.86,Normal,0.25,37
465,S29,78,Train,1958,0.78,Monsoon,0.16,14
466,S50,1829,Ship,4302,0.7,Normal,0.37,29
467,S32,1367,Truck,1838,0.12,Monsoon,0.42,37
468,S29,536,Train,3238,0.88,Monsoon,0.45,22
469,S4,1784,Train,4227,0.65,Normal,0.55,37
470,S39,430,Truck,3467,0.11,Peak,0.12,16
471,S16,1187,Truck,3553,0.7,Monsoon,0.43,37
472,S17,456,Truck,2820,0.5,Normal,0.44,19
473,S44,818,Train,2858,0.59,Monsoon,0.05,21
474,S46,1796,Ship,4216,0.4,Peak,0.53,28
475,S22,727,Ship,2759,0.54,Normal,0.05,13
476,S7,753,Truck,3472,0.78,Peak,0.3,27
477,S50,1413,Truck,929,0.76,Monsoon,0.54,43
478,S3,280,Train,2296,0.4,Normal,0.52,13
479,S25,1463,Truck,1825,0.25,Monsoon,0.49,39
480,S19,549,Train,4729,0.5,Monsoon,0.55,21
481,S5,1663,Train,4034,0.66,Peak,0.31,34
482,S39,969,Air,1604,0.12,Normal,0.01,49
483,S11,841,Air,1547,0.84,Peak,0.37,52
484,S12,640,Air,1272,0.12,Monsoon,0.09,38
485,S3,1494,Ship,1526,0.19,Peak,0.08,21
486,S4,1963,Truck,3786,0.4,Normal,0.14,47
487,S2,1653,Train,3309,0.53,Normal,0.59,36
